trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.3, 'e': 0.4029269495868858}",20,6,-73.23648254374476,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 1}",1
102,False,"{'a': 0.3, 'e': 0.3993168767363899}",25,0,3.163670481648108,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
103,False,"{'a': 0.3, 'e': 0.3957391487712367}",35,15,26.69195504493042,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.392193475893505}",20,0,-12.277947390538362,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.38867957090175304}",20,0,-74.6108607046488,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
106,False,"{'a': 0.3, 'e': 0.3851971491677552}",25,10,-23.799069779277744,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.3, 'e': 0.3817459286134471}",25,9,0.6622379045293206,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.3, 'e': 0.3783256296880768}",20,0,-17.040878005454157,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
109,False,"{'a': 0.3, 'e': 0.3749359753455614}",20,7,-25.033774433589475,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.3715766910220457}",20,0,-53.74403137157488,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.3, 'e': 0.36824750461366296}",20,2,-56.52483898375295,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
112,False,"{'a': 0.3, 'e': 0.36494814645449375}",25,19,-28.781183947566078,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.3, 'e': 0.3616783492947233}",20,0,10.07331627178949,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.3, 'e': 0.3584378482789939}",25,6,11.923799943533137,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.3552263809249515}",20,10,-1.5749034585334303,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.3, 'e': 0.35204368710198464}",20,6,11.68042301826128,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.34888950901015336}",35,7,-29.255160475256854,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 1}",1
118,False,"{'a': 0.3, 'e': 0.3457635911593078}",20,0,-26.537268694410287,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
119,False,"{'a': 0.3, 'e': 0.3426656803483929}",20,12,13.786227665378972,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.3395955256449392}",20,12,13.398527417743402,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.336552878364737}",25,10,-87.20180291278781,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
122,False,"{'a': 0.3, 'e': 0.33353749205169325}",20,6,-40.50490860916121,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.3, 'e': 0.3305491224578677}",25,9,7.918107699633472,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.3275875275236896}",30,0,-72.97559880975798,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",1
125,False,"{'a': 0.3, 'e': 0.32465246735834974}",20,6,-27.68465084224274,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.3, 'e': 0.3217437042203702}",25,6,-28.24163183147793,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.3, 'e': 0.3188610024983463}",20,0,-49.432335420036196,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
128,False,"{'a': 0.3, 'e': 0.31600412869186256}",20,4,2.8491556611485587,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.31317285139257856}",30,0,-4.4926410478996415,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.3, 'e': 0.31036694126548503}",25,3,-21.415992015173128,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.3, 'e': 0.30758617103032765}",20,5,1.5236686852780412,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.3, 'e': 0.30483031544319683}",25,13,-30.814588978954887,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.3, 'e': 0.30209915127828346}",20,2,-0.37435656740001977,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.2993924573097967}",20,10,16.857622039592208,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.2967100142940453}",20,6,17.272095852845773,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.29405160495167837}",35,14,-10.032659125634101,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.29141701395008573}",20,9,5.319155830609963,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.28880602788595566}",25,10,24.795829576914393,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.2862184352679895}",20,0,10.24382526691816,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
140,False,"{'a': 0.3, 'e': 0.2836540264997704}",30,0,23.023906743272335,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
